"Artist Name(s)","HitCount","YearStart","YearEnd","Artist Genres","YearRange"
"The Beatles",4,1963,2000,"beatlesque,british invasion,classic rock,merseybeat,psychedelic rock,rock","1963 - 2000"
"Phil Collins",3,1981,2016,"rock drums,soft rock","1981 - 2016"
"Michael Jackson",6,1979,2012,"r&b,soul","1979 - 2012"
"Madonna",4,1984,2009,"dance pop,pop","1984 - 2009"
"Green Day",7,1994,2017,"modern rock,permanent wave,punk,rock","1994 - 2017"
"Billy Joel",4,1973,1989,"album rock,classic rock,heartland rock,mellow gold,piano rock,rock,singer-songwriter,soft rock","1973 - 1989"
"The Rolling Stones",4,1965,1981,"album rock,british invasion,classic rock,rock","1965 - 1981"
"Coldplay",13,2000,2015,"permanent wave,pop","2000 - 2015"
"Red Hot Chili Peppers",7,1991,2006,"alternative rock,funk metal,funk rock,permanent wave,rock","1991 - 2006"
"Tom Petty and the Heartbreakers",2,1976,1991,"album rock,classic rock,hard rock,heartland rock,mellow gold,rock,singer-songwriter,soft rock","1976 - 1991"
"AC/DC",7,1976,1990,"australian rock,hard rock,rock","1976 - 1990"
"Bon Jovi",4,1986,2000,"glam metal,rock","1986 - 2000"
"Justin Timberlake",3,2002,2016,"dance pop,pop","2002 - 2016"
"Miley Cyrus",8,2009,2023,"pop","2009 - 2023"
"The Offspring",4,1994,2008,"alternative metal,permanent wave,post-grunge,punk,rock,skate punk,socal pop punk","1994 - 2008"
"Kenny Loggins",3,1984,1997,"album rock,classic rock,heartland rock,mellow gold,new wave pop,singer-songwriter,soft rock,yacht rock","1984 - 1997"
"Panic! At The Disco",2,2005,2018,"pop","2005 - 2018"
"U2",4,1987,2000,"irish rock,permanent wave,rock","1987 - 2000"
"Ed Sheeran",13,2011,2023,"pop,singer-songwriter pop,uk pop","2011 - 2023"
"Eminem",3,2002,2014,"detroit hip hop,hip hop,rap","2002 - 2014"
"Linkin Park",5,2000,2012,"alternative metal,nu metal,post-grunge,rap metal,rock","2000 - 2012"
"Calvin Harris, Ellie Goulding",3,2012,2023,"dance pop,edm,electro house,house,pop,progressive house,uk dance,indietronica,metropopolis,pop,uk pop","2012 - 2023"
"Duran Duran",2,1982,1993,"album rock,dance rock,new romantic,new wave,new wave pop,rock,soft rock,synthpop","1982 - 1993"
"Nicki Minaj",3,2011,2022,"hip pop,pop,queens hip hop,rap","2011 - 2022"
"P!nk",4,2012,2023,"dance pop,pop","2012 - 2023"
