"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","D+E","Key","Loudness","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Label","Copyrights","Year","Song Duration (s)"
"spotify:track:3k79jB4aGmMDUQzEwa46Rz","vampire","spotify:artist:1McMsnEElThX1knmY4oliG","Olivia Rodrigo","spotify:album:5kqfR7EuGbyp8x27Pr1kY9","vampire","spotify:artist:1McMsnEElThX1knmY4oliG","Olivia Rodrigo","6/30/2023","https://i.scdn.co/image/ab67616d0000b2731e5e75dc1d878a0007cb6525",1,1,219724,"https://p.scdn.co/mp3-preview/f0e20e86946a0f01d0352ce0371faff987455d73?cid=9950ac751e34487dbbe027c4fd7f8e99",TRUE,98,"USUG12304091","spotify:user:bradnumber1",2023-07-05 22:55:39,"pop",0.511,0.532,1.043,5,-5.745,0.056,0.169,0,0.311,0.322,137.827,4,"Olivia Rodrigo PS","C c 2023 Olivia Rodrigo, under exclusive license to Geffen Records, P ? 2023 Olivia Rodrigo, under exclusive license to Geffen Records",2023,219.724
"spotify:track:7FbrGaHYVDmfr7KoLIZnQ7","Cupid - Twin Ver.","spotify:artist:4GJ6xDCF5jaUqD6avOuQT6","FIFTY FIFTY","spotify:album:5letLUZIFsQikJYShfGNs4","The Beginning: Cupid","spotify:artist:4GJ6xDCF5jaUqD6avOuQT6","FIFTY FIFTY","2/24/2023","https://i.scdn.co/image/ab67616d0000b27337c0b3670236c067c8e8bbcb",1,2,174253,"https://p.scdn.co/mp3-preview/af5c16d4c69be9b3278e7079d5aab14aa425127b?cid=9950ac751e34487dbbe027c4fd7f8e99",FALSE,97,"KSA012239181","spotify:user:bradnumber1",2023-06-06 09:13:21,"k-pop girl group",0.783,0.592,1.375,11,-8.332,0.0331,0.435,4.15e-06,0.347,0.726,120.018,4,"WM Korea","C c 2023 ATTRAKT under exclusive license to Warner Music Korea, P ? 2023 ATTRAKT under exclusive license to Warner Music Korea",2023,174.253
"spotify:track:0yLdNVWF3Srea0uzk55zFn","Flowers","spotify:artist:5YGY8feqx7naU7z4HrwZM6","Miley Cyrus","spotify:album:7I0tjwFtxUwBC1vgyeMAax","Flowers","spotify:artist:5YGY8feqx7naU7z4HrwZM6","Miley Cyrus","1/13/2023","https://i.scdn.co/image/ab67616d0000b273f429549123dbe8552764ba1d",1,1,200454,"https://p.scdn.co/mp3-preview/9fbe346e805ed219204f53324f94557ab557b6d3?cid=9950ac751e34487dbbe027c4fd7f8e99",FALSE,96,"USSM12209777","spotify:user:bradnumber1",2023-02-01 19:33:29,"pop",0.707,0.681,1.388,0,-4.325,0.0668,0.0632,5.15e-06,0.0322,0.646,117.999,4,"Columbia","P (P) 2023 Smiley Miley, Inc. under exclusive license to Columbia Records, a Division of Sony Music Entertainment",2023,200.454
"spotify:track:4h9wh7iOZ0GGn8QVp4RAOB","I Ain't Worried","spotify:artist:5Pwc4xIPtQLFEnJriah9YJ","OneRepublic","spotify:album:04PEOM6kIEeq9lRp1asNP2","I AinÅft Worried (Music From The Motion Picture ""Top Gun: Maverick"")","spotify:artist:5Pwc4xIPtQLFEnJriah9YJ","OneRepublic","5/13/2022","https://i.scdn.co/image/ab67616d0000b273ec96e006b8bdfc582610ec13",1,1,148485,"https://p.scdn.co/mp3-preview/20d702edf937db0248603243a310404923d5bffb?cid=9950ac751e34487dbbe027c4fd7f8e99",FALSE,95,"USUM72206227","spotify:user:bradnumber1",2022-08-28 06:14:50,"piano rock,pop",0.704,0.797,1.501,0,-5.927,0.0475,0.0826,0.000745,0.0546,0.825,139.994,4,"Interscope Records","C c 2022 Paramount Pictures, P ? 2022 Mosley Music/Interscope Records",2022,148.485
"spotify:track:2dHHgzDwk4BJdRwy9uXhTO","Creepin' (with The Weeknd & 21 Savage)","spotify:artist:0iEtIxbK0KxaSlF7G42ZOp, spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ, spotify:artist:1URnnhqYAYcrqrcwql10ft","Metro Boomin, The Weeknd, 21 Savage","spotify:album:7txGsnDSqVMoRl6RQ9XyZP","HEROES & VILLAINS","spotify:artist:0iEtIxbK0KxaSlF7G42ZOp","Metro Boomin","12/2/2022","https://i.scdn.co/image/ab67616d0000b27313e54d6687e65678d60466c2",1,10,221520,"https://p.scdn.co/mp3-preview/adc5d059e4ccc40bbad75f3844eb03546d9ab05a?cid=9950ac751e34487dbbe027c4fd7f8e99",TRUE,95,"USUG12208791","spotify:user:bradnumber1",2023-05-07 12:00:09,"hip hop,rap,canadian contemporary r&b,canadian pop,pop,atl hip hop,hip hop,rap,trap",0.715,0.62,1.335,1,-6.005,0.0484,0.417,0,0.0822,0.172,97.95,4,"Republic Records","C c 2022 Boominati Worldwide, LLC, under exclusive license to Republic Records, a division of UMG Recordings, Inc., P ? 2022 Boominati Worldwide, LLC, under exclusive license to Republic Records, a division of UMG Recordings, Inc.",2022,221.52
"spotify:track:0V3wPSX9ygBnCm8psDIegu","Anti-Hero","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:151w1FgRZfnKZA9FEcg9Z3","Midnights","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","10/21/2022","https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5",1,3,200690,"https://p.scdn.co/mp3-preview/8587a38f3496e9b17e33d89c322c4b69ba899d69?cid=9950ac751e34487dbbe027c4fd7f8e99",FALSE,95,"USUG12205736","spotify:user:bradnumber1",2022-11-02 00:25:27,"pop",0.637,0.643,1.28,4,-6.571,0.0519,0.13,1.8e-06,0.142,0.533,97.008,4,"Taylor Swift","C c 2022 Taylor Swift, P ? 2022 Taylor Swift",2022,200.69
"spotify:track:1vYXt7VSjH9JIM5oRRo7vA","Dance The Night (From Barbie The Album)","spotify:artist:6M2wZ9GZgrQXHCFfjv46we","Dua Lipa","spotify:album:5cH7FqB7JD5q1tJXJ7FHYu","Dance The Night (From Barbie The Album)","spotify:artist:6M2wZ9GZgrQXHCFfjv46we","Dua Lipa","5/25/2023","https://i.scdn.co/image/ab67616d0000b2737dd3ba455ee3390cb55b0192",1,1,176579,"https://p.scdn.co/mp3-preview/acaea048f50a3b30ca24b348c84a6047373baabb?cid=9950ac751e34487dbbe027c4fd7f8e99",FALSE,95,"USAT22305457","spotify:user:bradnumber1",2023-05-28 04:12:13,"dance pop,pop,uk pop",0.671,0.845,1.516,11,-4.93,0.048,0.0207,0,0.329,0.775,110.056,4,"Atlantic Records","C c 2023 Atlantic Recording Corporation, Warner Bros. Entertainment, Inc. & Mattel, Inc., P ? 2023 Atlantic Recording Corporation, Warner Bros. Entertainment, Inc. & Mattel, Inc.",2023,176.579
"spotify:track:4uUG5RXrOk84mYEfFvj3cK","I'm Good (Blue)","spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai, spotify:artist:64M6ah0SkkRsnPGtGiRAbb","David Guetta, Bebe Rexha","spotify:album:7M842DMhYVALrXsw3ty7B3","I'm Good (Blue)","spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai, spotify:artist:64M6ah0SkkRsnPGtGiRAbb","David Guetta, Bebe Rexha","8/26/2022","https://i.scdn.co/image/ab67616d0000b273933c036cd61cd40d3f17a9c4",1,1,175238,"https://p.scdn.co/mp3-preview/c1de960c1a98f7ab652331e5223c50baba75c460?cid=9950ac751e34487dbbe027c4fd7f8e99",TRUE,95,"UKWLG2200055","spotify:user:bradnumber1",2022-08-31 00:29:21,"big room,dance pop,edm,pop,pop dance,dance pop,pop",0.561,0.965,1.526,7,-3.673,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,4,"Parlophone UK","C Under license to Warner Music UK Limited, c 2022 What A DJ Ltd, P Under license to Warner Music UK Limited, ? 2022 What A DJ Ltd",2022,175.238
"spotify:track:7MXVkk9YMctZqd1Srtv4MB","Starboy","spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ, spotify:artist:4tZwfgrHOc3mvqYlEYSvVi","The Weeknd, Daft Punk","spotify:album:2ODvWsOgouMbaA5xf0RkJe","Starboy","spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ","The Weeknd","11/25/2016","https://i.scdn.co/image/ab67616d0000b2734718e2b124f79258be7bc452",1,1,230453,"https://p.scdn.co/mp3-preview/57c1238d183c40da3157c2892346f58445b1377c?cid=9950ac751e34487dbbe027c4fd7f8e99",TRUE,94,"USUG11600976","spotify:user:bradnumber1",2021-08-08 09:26:31,"canadian contemporary r&b,canadian pop,pop,electro,filter house,rock",0.679,0.587,1.266,7,-7.015,0.276,0.141,6.35e-06,0.137,0.486,186.003,4,"Universal Republic Records","C c 2016 The Weeknd XO, Inc., Manufactured and Marketed by Republic Records, a Division of UMG Recordings, Inc., P ? 2016 The Weeknd XO, Inc., Manufactured and Marketed by Republic Records, a Division of UMG Recordings, Inc.",2016,230.453
"spotify:track:0WtM2NBVQNNJLh6scP13H8","Calm Down (with Selena Gomez)","spotify:artist:46pWGuE3dSwY3bMMXGBvVS, spotify:artist:0C8ZW7ezQVs4URX5aX7Kqx","Rema, Selena Gomez","spotify:album:2b2GHWESCWEuHiCZ2Skedp","Calm Down (with Selena Gomez)","spotify:artist:46pWGuE3dSwY3bMMXGBvVS, spotify:artist:0C8ZW7ezQVs4URX5aX7Kqx","Rema, Selena Gomez","8/25/2022","https://i.scdn.co/image/ab67616d0000b273a3a7f38ea2033aa501afd4cf",1,1,239317,"https://p.scdn.co/mp3-preview/b61b32e2928081fc98d438fd8c72919ab4fb12a4?cid=9950ac751e34487dbbe027c4fd7f8e99",FALSE,94,"NGA3B2214021","spotify:user:bradnumber1",2023-07-05 22:56:51,"afrobeats,nigerian pop,pop,post-teen pop",0.801,0.806,1.607,11,-5.206,0.0381,0.382,0.000669,0.114,0.802,106.999,4,"Mavin Records / Jonzing World","C c 2022 Mavin Global Holdings Ltd/Jonzing World Entertainment/SMG Music LLC, under exclusive licence to Interscope Records, P ? 2022 Mavin Global Holdings Ltd/Jonzing World Entertainment/SMG Music LLC, under exclusive licence to Interscope Records",2022,239.317
